ORDER_ID,ORDER_DATE,CITY,VEHICLE_TYPE,DISTANCE_KM,DELIVERY_TIME_MIN,IS_ONTIME,DRIVER_RATING
ORD1001,13-03-2025,Pune,Scooter,51.7,61,No,5
ORD1002,16-03-2025,Hyderabad,Van,33.6,90,Yes,3.9
ORD1003,22-03-2025,Pune,Scooter,44.8,117,Yes,3.3
ORD1004,01-03-2025,Hyderabad,Scooter,27.1,50,No,3
ORD1005,04-03-2025,Pune,Bike,33.1,49,Yes,4.1
ORD1006,28-03-2025,Hyderabad,Scooter,7,31,No,3.3
ORD1007,04-03-2025,Mumbai,Truck,34.3,11,Yes,4.4
ORD1008,08-03-2025,Bengaluru,Truck,23.9,92,Yes,3.7
ORD1009,10-03-2025,Pune,Truck,54.3,51,No,3.3
ORD1010,20-03-2025,Bengaluru,Truck,38,78,No,3
ORD1011,22-03-2025,Delhi,Van,17.9,57,No,4.3
ORD1012,19-03-2025,Delhi,Scooter,10.6,16,Yes,3.9
ORD1013,05-03-2025,Delhi,Bike,41.9,59,Yes,3.9
ORD1014,24-03-2025,Bengaluru,Bike,46.2,112,No,4
ORD1015,07-03-2025,Bengaluru,Scooter,19.3,108,Yes,4.5
ORD1016,25-03-2025,Bengaluru,Bike,41.5,111,Yes,4.3
ORD1017,25-03-2025,Delhi,Van,59.3,111,No,3.7
ORD1018,13-03-2025,Mumbai,Bike,29.1,61,No,4.5
ORD1019,27-03-2025,Pune,Van,15.3,75,Yes,4.1
ORD1020,02-03-2025,Pune,Van,19.6,70,No,4.4
ORD1021,07-03-2025,Hyderabad,Van,5.1,110,Yes,3.2
ORD1022,08-03-2025,Pune,Van,53.4,71,Yes,3.7
ORD1023,24-03-2025,Bengaluru,Van,21.6,67,Yes,4.5
ORD1024,15-03-2025,Bengaluru,Scooter,47.5,102,Yes,4
ORD1025,25-03-2025,Chennai,Truck,48.6,76,Yes,3.8
ORD1026,18-03-2025,Bengaluru,Scooter,50.2,109,No,4.5
ORD1027,06-03-2025,Hyderabad,Bike,16.7,84,Yes,4.4
